Total Expense Ratio (TER) for Mutual Fund Schemes,,,,,,,,,,,,,,,,,,,,,
,,Regular Plan,,,,,Direct Plan,,,,,Unclaimed Dividend,,,,,Unclaimed Redemption,,,,
Scheme Name,Date (DD/MM/YYYY),Base Expense Ratio (BER) (%),Brokerage cost (%),Transaction Cost incurred for the purpose of execution of trade (%),Statutory Levies (including GST) (%),Total TER (%),Base Expense Ratio (BER) (%),Brokerage cost (%),Transaction Cost incurred for the purpose of execution of trade (%),Statutory Levies (including GST) (%),Total TER (%),Base Expense Ratio (BER) (%),Brokerage cost (%),Transaction Cost incurred for the purpose of execution of trade (%),Statutory Levies (including GST) (%),Total TER (%),Base Expense Ratio (BER) (%),Brokerage cost (%),Transaction Cost incurred for the purpose of execution of trade (%),Statutory Levies (including GST) (%),Total TER (%)
BHARAT 22 ETF,01/06/2026,0.06%,0.00%,0.00%,0.01%,0.07%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BHARAT 22 ETF,02/06/2026,0.06%,0.00%,0.00%,0.01%,0.07%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BHARAT 22 ETF,03/06/2026,0.06%,0.00%,0.00%,0.01%,0.07%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BHARAT 22 ETF,04/06/2026,0.06%,0.0000%,0.0000%,0.01%,0.07%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BHARAT 22 ETF,05/06/2026,0.06%,0.00%,0.00%,0.01%,0.07%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BHARAT 22 ETF,06/06/2026,0.06%,0.00%,0.00%,0.01%,0.07%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BHARAT 22 ETF,07/06/2026,0.06%,0.00%,0.00%,0.01%,0.07%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BHARAT 22 ETF,08/06/2026,0.06%,0.00%,0.00%,0.01%,0.07%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BHARAT 22 ETF,09/06/2026,0.06%,0.00%,0.00%,0.01%,0.07%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BHARAT 22 ETF,10/06/2026,0.06%,0.00%,0.00%,0.01%,0.07%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BHARAT 22 ETF,11/06/2026,0.06%,0.00%,0.00%,0.01%,0.07%,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
